SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-17-2020,Single Family Residential,23703 Meridian Pl W,Bothell,WA,98021,570000,3,2.25,Bothell,1779,7841,1986,17,320,,Sold,,,http://www.redfin.com/WA/Bothell/23703-Meridian-Pl-W-98021/home/2807054,NWMLS,1507736,N,Y,47.7827039,-122.2332996
PAST SALE,September-25-2019,Single Family Residential,11716 NE 165th Pl,Bothell,WA,98011,645000,3,2.5,Queensgate,1790,6409,1987,131,360,16,Sold,,,http://www.redfin.com/WA/Bothell/11716-NE-165th-Pl-98011/home/456018,NWMLS,1502551,N,Y,47.7479632,-122.1842759
PAST SALE,December-20-2019,Single Family Residential,24118 2nd Pl W,Bothell,WA,98021,575000,3,1.75,Bothell,1728,10019,1959,45,333,,Sold,,,http://www.redfin.com/WA/Bothell/24118-2nd-Pl-W-98021/home/2706211,NWMLS,1535382,N,Y,47.7791064,-122.2366934
PAST SALE,October-24-2019,Single Family Residential,17907 32nd Dr SE #24,Bothell,WA,98012,729950,3,2.5,Mays Pond,2649,5079,2015,102,276,68,Sold,,,http://www.redfin.com/WA/Bothell/17907-32nd-Dr-SE-98012/unit-24/home/69060813,NWMLS,1517312,N,Y,47.8353604,-122.1886062
PAST SALE,October-30-2019,Single Family Residential,12226 NE 169th St,Bothell,WA,98011,590000,4,2.5,Cherry Hill,1770,7942,1994,96,333,10,Sold,,,http://www.redfin.com/WA/Bothell/12226-NE-169th-St-98011/home/454943,NWMLS,1498465,N,Y,47.7504097,-122.1764639
PAST SALE,September-4-2019,Single Family Residential,18023 30th Ave SE,Bothell,WA,98012,760000,4,2.5,Mill Creek,2817,3920,2009,152,270,55,Sold,,,http://www.redfin.com/WA/Bothell/18023-30th-Ave-SE-98012/home/17971264,NWMLS,1499251,N,Y,47.8340268,-122.191904
PAST SALE,September-10-2019,Single Family Residential,1924 171st Pl SE,Bothell,WA,98012,585000,4,2.75,Mays Pond,2082,54014,1979,146,281,,Sold,,,http://www.redfin.com/WA/Bothell/1924-171st-Pl-SE-98012/home/2783205,NWMLS,1508214,N,Y,47.8422673,-122.2060522
PAST SALE,December-17-2019,Single Family Residential,22915 41st Dr SE,Bothell,WA,98021,639950,4,2.5,Bothell,2047,4356,2011,48,313,34,Sold,,,http://www.redfin.com/WA/Bothell/22915-41st-Dr-SE-98021/home/40602794,NWMLS,1532105,N,Y,47.789559,-122.1771976
PAST SALE,August-20-2019,Single Family Residential,2732 181st Pl SE,Bothell,WA,98012,644900,3,2.5,Bothell,2162,4792,1999,167,298,20,Sold,,,http://www.redfin.com/WA/Bothell/2732-181st-Pl-SE-98012/home/2861995,NWMLS,1465782,N,Y,47.8330849,-122.1953223
PAST SALE,August-29-2019,Single Family Residential,23214 7th Dr SE,Bothell,WA,98021,1138990,5,3.25,Bothell,3868,7405,2018,158,294,123,Sold,,,http://www.redfin.com/WA/Bothell/23214-7th-Dr-SE-98021/home/161219219,NWMLS,1478133,N,Y,47.78728,-122.222207
PAST SALE,August-14-2019,Single Family Residential,17231 42nd Dr SE,Bothell,WA,98012,665000,4,2.5,Bothell,2220,3485,2015,173,300,55,Sold,,,http://www.redfin.com/WA/Bothell/17231-42nd-Dr-SE-98012/home/105199324,NWMLS,1484017,N,Y,47.8408312,-122.1755839
PAST SALE,November-7-2019,Single Family Residential,17302 31st Dr SE,Bothell,WA,98012,745000,4,2.5,Mill Creek,2781,6098,2001,88,268,25,Sold,,,http://www.redfin.com/WA/Bothell/17302-31st-Dr-SE-98012/home/2886503,NWMLS,1517779,N,Y,47.8407934,-122.1908727
PAST SALE,August-27-2019,Single Family Residential,11179 NE 162nd St,Bothell,WA,98011,775000,5,4.0,Norway Hill,2870,4198,2007,160,270,60,Sold,,,http://www.redfin.com/WA/Bothell/11179-NE-162nd-St-98011/home/12303095,NWMLS,1478456,N,Y,47.7448915,-122.1918907
PAST SALE,August-14-2019,Single Family Residential,18732 19th Dr SE,Bothell,WA,98012,450000,3,2.25,Bothell,1521,2178,1996,173,296,83,Sold,,,http://www.redfin.com/WA/Bothell/18732-19th-Dr-SE-98012/home/2843362,NWMLS,1487400,N,Y,47.827492,-122.207219
PAST SALE,September-19-2019,Single Family Residential,11004 NE 194th Dr,Bothell,WA,98011,1015000,4,3.25,Maywood Hills,3870,9584,2017,137,262,75,Sold,,,http://www.redfin.com/WA/Bothell/11004-NE-194th-Dr-98011/home/59703604,NWMLS,1501989,N,Y,47.7692299,-122.1938822
PAST SALE,August-19-2019,Single Family Residential,2928 183rd Pl SE,Bothell,WA,98012,624990,4,2.5,Bothell,1814,3049,2010,168,345,55,Sold,,,http://www.redfin.com/WA/Bothell/2928-183rd-Pl-SE-98012/home/39951702,NWMLS,1495447,N,Y,47.8310239,-122.1927146
PAST SALE,October-16-2019,Single Family Residential,17702 35th Dr SE #2021,Bothell,WA,98012,720000,4,2.5,Mays Pond,2220,3629,2015,110,324,57,Sold,,,http://www.redfin.com/WA/Bothell/17702-35th-Dr-SE-98012/unit-2021/home/59706607,NWMLS,1519266,N,Y,47.837195,-122.1853539
PAST SALE,December-9-2019,Single Family Residential,4026 166th St SE,Bothell,WA,98012,628000,4,2.5,Mill Creek,2545,8276,2007,56,247,,Sold,,,http://www.redfin.com/WA/Bothell/4026-166th-St-SE-98012/home/12490397,NWMLS,1457667,N,Y,47.8472624,-122.178308
PAST SALE,November-25-2019,Single Family Residential,19627 1st Ave SE,Bothell,WA,98012,512000,3,2.5,Bothell,1734,2419,2013,70,295,60,Sold,,,http://www.redfin.com/WA/Bothell/19627-1st-Ave-SE-98012/home/45390544,NWMLS,1519565,N,Y,47.8196053,-122.231058
PAST SALE,September-5-2019,Single Family Residential,314 182nd St SE,Bothell,WA,98012,805000,4,3.0,North Bothell,3130,4792,2017,151,257,20,Sold,,,http://www.redfin.com/WA/Bothell/314-182nd-St-SE-98012/home/143846873,NWMLS,1498530,N,Y,47.832917,-122.228484
PAST SALE,August-23-2019,Single Family Residential,410 169th St SE,Bothell,WA,98012,550000,3,2.25,Martha Lake,1488,9148,1981,164,370,,Sold,,,http://www.redfin.com/WA/Bothell/410-169th-St-SE-98012/home/2791272,NWMLS,1472879,N,Y,47.8443964,-122.2257135
PAST SALE,September-17-2019,Townhouse,18328 40th Ave SE,Bothell,WA,98208,605000,5,2.75,North Creek,2262,3462,2010,139,267,100,Sold,,,http://www.redfin.com/WA/Bothell/18328-40th-Ave-SE-98012/unit-104/home/22921489,NWMLS,1504331,N,Y,47.831438,-122.1793576
PAST SALE,August-27-2019,Single Family Residential,3917 168th Pl SE,Bothell,WA,98012,780000,4,2.5,Bothell,2558,5227,2015,160,305,48,Sold,,,http://www.redfin.com/WA/Bothell/3917-168th-Pl-SE-98012/home/62627271,NWMLS,1483912,N,Y,47.8451125,-122.1793577
PAST SALE,December-5-2019,Single Family Residential,18714 24th Ave SE,Bothell,WA,98012,636825,5,2.5,Bothell,2544,26136,1979,60,250,,Sold,,,http://www.redfin.com/WA/Bothell/18714-24th-Ave-SE-98012/home/2780724,NWMLS,1491951,N,Y,47.8279279,-122.2013627
PAST SALE,January-9-2020,Condo/Co-op,10831 NE 147th Ln Unit R105,Bothell,WA,98011,259500,1,1.0,Juanita,626,,1982,25,415,252,Sold,,,http://www.redfin.com/WA/Bothell/10831-NE-147th-Ln-98011/unit-R105/home/11761640,NWMLS,1500665,N,Y,47.7343461,-122.1947461
PAST SALE,December-3-2019,Single Family Residential,11308 NE 149th St,Kirkland,WA,98034,665000,3,2.0,Kirkland,1557,7875,1967,62,427,,Sold,,,http://www.redfin.com/WA/Kirkland/11308-NE-149th-St-98034/home/457278,NWMLS,1536827,N,Y,47.7364824,-122.1906761
PAST SALE,November-26-2019,Single Family Residential,18613 10th Ave SE,Bothell,WA,98012,610000,4,2.75,North Creek,2406,4000,2004,69,254,,Sold,,,http://www.redfin.com/WA/Bothell/18613-10th-Ave-SE-98012/home/2913303,NWMLS,1514527,N,Y,47.8289578,-122.2183589
PAST SALE,August-30-2019,Mobile/Manufactured Home,17315 Woodcrest Dr NE,Bothell,WA,98011,315000,3,1.75,Bothell,1332,5509,1984,157,236,150,Sold,,,http://www.redfin.com/WA/Bothell/17315-Woodcrest-Dr-NE-98011/home/55554422,NWMLS,1477920,N,Y,47.7538012,-122.1838705
PAST SALE,September-19-2019,Single Family Residential,15004 110th Ave NE,Bothell,WA,98011,540000,3,1.0,Bothell,1160,8500,1976,137,466,,Sold,,,http://www.redfin.com/WA/Bothell/15004-110th-Ave-NE-98011/home/457022,NWMLS,1497982,N,Y,47.7367045,-122.1940723
PAST SALE,October-7-2019,Condo/Co-op,10816 NE 147th Ln Unit L103,Bothell,WA,98011,260000,1,1.0,Juanita,626,374551,1982,119,415,252,Sold,,,http://www.redfin.com/WA/Bothell/10816-NE-147th-Ln-98011/unit-L103/home/12305007,NWMLS,1514755,N,Y,47.7348064,-122.1960654
PAST SALE,,Single Family Residential,19403 Meridian Ave S,Bothell,WA,98012,710000,4,2.75,,2557,3429,2016,,278,,,,,http://www.redfin.com/WA/Bothell/19403-Meridian-Ave-S-98012/home/109593254,,,N,Y,47.8220249,-122.2325382
PAST SALE,August-23-2019,Single Family Residential,15221 92nd Pl NE,Bothell,WA,98011,975000,4,2.5,Inglewood/Inglemoor,2720,7495,1989,164,358,,Sold,,,http://www.redfin.com/WA/Bothell/15221-92nd-Pl-NE-98011/home/284633,NWMLS,1473548,N,Y,47.7391327,-122.2179215
PAST SALE,December-16-2019,Single Family Residential,2517 186th Pl SE,Bothell,WA,98012,532500,3,2.5,Bothell,2639,11761,1979,49,202,,Sold,,,http://www.redfin.com/WA/Bothell/2517-186th-Pl-SE-98012/home/2780741,NWMLS,1494530,N,Y,47.82903,-122.1986677
PAST SALE,November-25-2019,Condo/Co-op,2201 192nd St SE Unit Y102,Bothell,WA,98012,375000,3,1.75,Bothell,1336,379380,1999,70,281,395,Sold,,,http://www.redfin.com/WA/Bothell/2201-192nd-St-SE-98012/unit-Y102/home/2866615,NWMLS,1522917,N,Y,47.8253977,-122.20303
PAST SALE,November-4-2019,Single Family Residential,332 161st Pl SE,Bothell,WA,98012,421000,3,2.0,Mill Creek,1056,9583,1984,91,399,,Sold,,,http://www.redfin.com/WA/Bothell/332-161st-Pl-SE-98012/home/2799984,NWMLS,1521650,N,Y,47.8514009,-122.2264009
PAST SALE,November-8-2019,Single Family Residential,610 197th St SE,Bothell,WA,98012,549950,4,2.5,Bothell,1723,5775,2011,87,319,25,Sold,,,http://www.redfin.com/WA/Bothell/610-197th-St-SE-98012/home/35614597,NWMLS,1520938,N,Y,47.819615,-122.2236324
PAST SALE,November-22-2019,Condo/Co-op,2201 192nd St SE Unit Q203,Bothell,WA,98012,308000,2,1.75,Bothell,923,379380,1999,73,334,248,Sold,,,http://www.redfin.com/WA/Bothell/2201-192nd-St-SE-98012/unit-Q203/home/2866569,NWMLS,1530251,N,Y,47.8253977,-122.20303
PAST SALE,,Single Family Residential,19112 14th Dr SE,Bothell,WA,98012,600000,4,2.5,,3201,4356,2008,,187,,,,,http://www.redfin.com/WA/Bothell/19112-14th-Dr-SE-98012/home/21501673,,,N,Y,47.824813,-122.2136307
PAST SALE,November-19-2019,Single Family Residential,19804 35th Dr SE,Bothell,WA,98012,720000,4,2.5,Bothell,2395,3920,2015,76,301,85,Sold,,,http://www.redfin.com/WA/Bothell/19804-35th-Dr-SE-98012/home/105199332,NWMLS,1529835,N,Y,47.8180249,-122.1856186
PAST SALE,August-30-2019,Condo/Co-op,17302 14th Dr SE #30,Bothell,WA,98012,515000,4,2.5,Mill Creek,2125,4912,2010,157,242,33,Sold,,,http://www.redfin.com/WA/Bothell/17302-14th-Dr-SE-98012/unit-30/home/11884221,NWMLS,1476820,N,Y,47.8409485,-122.2131079
PAST SALE,December-12-2019,Townhouse,17905 35th Ave SE Unit C3,Bothell,WA,98012,529950,4,3.25,Bothell,2061,1500,2019,53,257,145,Sold,,,http://www.redfin.com/WA/Bothell/17905-35th-Ave-SE-98012/unit-C3/home/167186912,NWMLS,1487129,N,Y,47.8353489,-122.1856604
PAST SALE,,Condo/Co-op,9515 NE 180th St Unit C301,Bothell,WA,98011,285000,2,1.0,,900,,1979,,317,,,,,http://www.redfin.com/WA/Bothell/9515-NE-180th-St-98011/unit-C301/home/5984,,,N,Y,47.7573885,-122.2130107
PAST SALE,October-17-2019,Single Family Residential,16003 Meridian Ave S,Bothell,WA,98012,720000,4,3.5,Martha Lake,3560,4255,2016,109,202,67,Sold,,,http://www.redfin.com/WA/Bothell/16003-Meridian-Ave-S-98012/home/102886502,NWMLS,1509181,N,Y,47.8531814,-122.2333923
PAST SALE,December-2-2019,Mobile/Manufactured Home,23907 Rock Cir,Bothell,WA,98021,325000,2,2.0,Bothell,1824,5663,1977,63,178,122,Sold,,,http://www.redfin.com/WA/Bothell/23907-Rock-Cir-98021/home/2776769,NWMLS,1540019,N,Y,47.7813602,-122.2440093
PAST SALE,November-22-2019,Townhouse,23704 5th (Lot #40) Ave SE Unit C,Bothell,WA,98021,697438,4,3.0,Canyon Park,2247,1000,2019,73,310,150,Sold,,,http://www.redfin.com/WA/Bothell/5th-Ave-SE-98021/unit-C/home/169426284,NWMLS,1416737,N,Y,47.785,-122.2399
PAST SALE,,Condo/Co-op,10709 Valley View Rd Unit B201,Bothell,WA,98011,361000,3,2.0,,1158,,2003,,312,,,,,http://www.redfin.com/WA/Bothell/10709-Valley-View-Rd-98011/unit-B201/home/12306556,,,N,Y,47.7587453,-122.1974995
PAST SALE,November-21-2019,Single Family Residential,21814 4th Ave SE,Bothell,WA,98021,585000,3,2.25,Bothell,1816,13504,1984,74,322,,Sold,,,http://www.redfin.com/WA/Bothell/21814-4th-Ave-SE-98021/home/2784313,NWMLS,1526800,N,Y,47.7998965,-122.2255716
PAST SALE,November-20-2019,Townhouse,23908 Bothell Everett Hwy Unit C2,Bothell,WA,98021,374000,2,2.5,Canyon Park,1252,,1996,75,299,397,Sold,,,http://www.redfin.com/WA/Bothell/23908-Bothell-Everett-Hwy-98021/unit-C2/home/2853181,NWMLS,1504572,N,Y,47.7809614,-122.2217157
PAST SALE,January-22-2020,Single Family Residential,20119 126th Ave NE,Bothell,WA,98011,1064500,6,3.75,Woodinville,4231,9760,2015,12,252,40,Sold,,,http://www.redfin.com/WA/Bothell/20119-126th-Ave-NE-98011/home/55551230,NWMLS,1492902,N,Y,47.773084,-122.1732212
PAST SALE,August-22-2019,Townhouse,16416 1st Park SE,Bothell,WA,98012,470000,2,2.5,Mill Creek,1852,2178,2008,165,254,155,Sold,,,http://www.redfin.com/WA/Bothell/16416-1st-Park-SE-98012/home/21499914,NWMLS,1467312,N,Y,47.848609,-122.23045
PAST SALE,,Single Family Residential,20707 Richmond Rd,Bothell,WA,98012,600000,2,1.0,,1500,15246,1949,,400,,,,,http://www.redfin.com/WA/Bothell/20707-Richmond-Rd-98012/home/2648524,,,N,Y,47.8100438,-122.2277198
PAST SALE,September-23-2019,Single Family Residential,201 202nd St SE,Bothell,WA,98012,590000,4,2.5,Thrashers Corner,2114,4792,2002,133,279,14,Sold,,,http://www.redfin.com/WA/Bothell/201-202nd-St-SE-98012/home/2893107,NWMLS,1495988,N,Y,47.8147168,-122.2292524
PAST SALE,November-13-2019,Mobile/Manufactured Home,10515 Woodinville Dr NE #79,Bothell,WA,98011,35000,1,1.0,Sammamish River,840,,1967,82,42,,Sold,,,http://www.redfin.com/WA/Bothell/10515-Woodinville-Dr-98011/unit-79/home/169134447,NWMLS,1521473,N,Y,47.7580768,-122.1996656
PAST SALE,September-30-2019,Single Family Residential,18615 130th Pl NE,Woodinville,WA,98072,885000,4,2.5,Woodinville,3239,8171,2004,126,273,20,Sold,,,http://www.redfin.com/WA/Woodinville/18615-130th-Pl-NE-98072/home/2081282,NWMLS,1514890,N,Y,47.7629205,-122.1660892
PAST SALE,November-22-2019,Townhouse,18319 96th Dr NE Unit C,Bothell,WA,98011,678800,3,2.5,Downtown Bothell,1537,,2019,73,442,153,Sold,,,http://www.redfin.com/WA/Bothell/18319-96th-Ct-NE-98011/unit-C/home/167559872,NWMLS,1491846,N,Y,47.7491537,-122.2125557
PAST SALE,November-14-2019,Townhouse,2201 192nd St SE Unit X201,Bothell,WA,98012,347500,3,1.75,Bothell,1478,379380,1999,81,235,395,Sold,,,http://www.redfin.com/WA/Bothell/2201-192nd-St-SE-98012/unit-X201/home/2866606,NWMLS,1485484,N,Y,47.8253977,-122.20303
PAST SALE,November-27-2019,Condo/Co-op,10837 NE 148th Ln Unit D-1,Bothell,WA,98011,266900,1,1.0,Juanita,652,374551,1982,68,409,263,Sold,,,http://www.redfin.com/WA/Bothell/10837-NE-148th-Ln-98011/unit-D1/home/167719601,NWMLS,1521269,N,Y,47.7349378,-122.1949244
PAST SALE,October-18-2019,Condo/Co-op,15805 Waynita Way NE Unit D107,Bothell,WA,98011,282000,2,1.75,Bothell,907,961258,1988,108,311,343,Sold,,,http://www.redfin.com/WA/Bothell/15805-Waynita-Way-NE-98011/unit-D107/home/2691,NWMLS,1476741,N,Y,47.7425774,-122.2127836
PAST SALE,November-6-2019,Single Family Residential,20207 96th Ave NE,Bothell,WA,98011,800000,3,2.0,Maywood Hills,2330,10164,2002,89,343,,Sold,,,http://www.redfin.com/WA/Bothell/20207-96th-Ave-NE-98011/home/287006,NWMLS,1524788,N,Y,47.7751065,-122.2130522
PAST SALE,November-22-2019,Townhouse,2111 186th Pl SE,Bothell,WA,98012,347970,2,2.5,Bothell,1308,3920,1987,73,266,,Sold,,,http://www.redfin.com/WA/Bothell/2111-186th-Pl-SE-98012/home/2811364,NWMLS,1534369,N,Y,47.829103,-122.204225
PAST SALE,November-22-2019,Townhouse,1526 192nd St SE Unit P-2,Bothell,WA,98012,300000,2,1.5,Canyon Park,936,,1987,73,321,288,Sold,,,http://www.redfin.com/WA/Bothell/1526-192nd-St-SE-98012/unit-P2/home/2833528,NWMLS,1525767,N,Y,47.8233522,-122.210436
PAST SALE,November-22-2019,Single Family Residential,21610 39th Dr SE,Bothell,WA,98021,782100,4,2.5,Canyon Park,3278,6098,2006,73,239,42,Sold,,,http://www.redfin.com/WA/Bothell/21610-39th-Dr-SE-98021/home/11881361,NWMLS,1513555,N,Y,47.8014929,-122.180479
PAST SALE,November-22-2019,Single Family Residential,3614 183rd Ln SE,Bothell,WA,98012,570000,5,2.5,Mill Creek,2289,2409,2010,73,249,107,Sold,,,http://www.redfin.com/WA/Bothell/3614-183rd-Ln-SE-98012/home/12176332,NWMLS,1506955,N,Y,47.831146,-122.1840961
PAST SALE,August-28-2019,Single Family Residential,20106 84th Pl NE,Bothell,WA,98011,645000,4,2.5,Bothell,2540,5561,2006,159,254,34,Sold,,,http://www.redfin.com/WA/Bothell/20106-84th-Pl-NE-98011/home/8186503,NWMLS,1451154,N,Y,47.7732193,-122.2270053
PAST SALE,December-6-2019,Single Family Residential,17518 39th Ave SE,Bothell,WA,98012,715750,3,2.5,Bothell,2194,3200,2017,59,326,55,Sold,,,http://www.redfin.com/WA/Bothell/17518-39th-Ave-SE-98012/home/108522325,NWMLS,1536540,N,Y,47.8385946,-122.1800608
PAST SALE,December-6-2019,Condo/Co-op,15300 112th Ave NE Unit B203,Bothell,WA,98011,267000,1,1.0,Bothell,740,,1999,59,361,281,Sold,,,http://www.redfin.com/WA/Bothell/15300-112th-Ave-NE-98011/unit-B203/home/22685040,NWMLS,1536572,N,Y,47.7394231,-122.1907686
PAST SALE,December-26-2019,Single Family Residential,22413 44th (Homesite South 3) Dr SE,Bothell,WA,98021,840000,5,3.5,Canyon Park,2710,3800,2019,39,310,102,Sold,,,http://www.redfin.com/WA/Bothell/22413-3rd-Dr-SE-98021/home/167104272,NWMLS,1537946,N,Y,47.793938,-122.173678
PAST SALE,December-27-2019,Single Family Residential,16720 34th Ave SE Unit CC 16,Bothell,WA,98012,699950,4,3.25,Mill Creek,2337,2941,2019,38,300,63,Sold,,,http://www.redfin.com/WA/Bothell/16720-34th-Ave-SE-98012/unit-CC-16/home/169439478,NWMLS,1529739,N,Y,47.84568524067246,-122.18735875042869
